,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,الواردات حسب الأصناف والدول,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,,,,,,,Imports by Commodities and Countries,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,,,,,,الوزن طن,القيمة مليون ريال,,عام,,2020,Year,,Value  (Million S R),Weight Tons,
3,,,,,,,,,,,الصادرات,,إعادة الصادرات,,المجموع,
4,,,,,,,,,,,Exports,,ReExports,,Total,
5,,الفصل,,,رقم البند,,,,,,الوزن,القيمة,الوزن,القيمة,الوزن,القيمة
6,,,وصف الفصل,Chapter Description,Item No.,الأصناف,Commodities,,,* سلع ذات وحدات عددية,Weight,Value,Weight,Value,Weight,Value
15508,,,,,85043100,غيرها من محولات ، لاتزيد قدرتها عن 1 كيلو فولت امبير,"OTHER TRANSFORMERS, 1 KVA OR LESS",,,,0.57,0.00375,43.434,1.5004659999999999,44.004,1.504216
15509,,,,,,,,دول اسلامية عدا العربية,ISLAMIC NOT ARABIC COUNTRIES,,0,0,0.001,0.00021,0.001,0.00021
15510,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,1.844,0.097957,1.844,0.097957
15511,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0.57,0.00375,7.206,0.346119,7.776000000000001,0.349869
15512,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,0,0,4.85,0.178648,4.85,0.178648
15513,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.015,0.020785,0.015,0.020785
15514,,,,,,,,دول اوروبا عدا دول الاتحاد الأوروبي,EUROPE NOT EUROPEAN UNION,,0,0,1.499,0.214645,1.499,0.214645
15515,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,0,0,28.019,0.642102,28.019,0.642102
15516,,,,,85043200,"غيرها من محولات قدرتها بين (1,1 ك/ف/ا - 16 ك/ف/ا )ـ","OTHER TRANSFORMERS, OVER 1 BUT NOT MORE THAN 16 KVA",,,,2.217,0.022235,67.189,1.143731,69.40599999999999,1.165966
15517,,,,,,,,دول اسلامية عدا العربية,ISLAMIC NOT ARABIC COUNTRIES,,0,0,58.01,0.24375,58.01,0.24375
15518,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0.017,0.002235,0.038,0.003164,0.055,0.005399
15519,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.102,0.06454,0.102,0.06454
15520,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,2.2,0.02,9.039,0.832277,11.239,0.8522770000000001
15521,,,,,85043300,غيرها من محولات ، قدرتها بين 17 ك/ف/ا - 500 ك/ف/ا,"OTHER TRANSFORMERS, OVER 16 BUT NOT MORE THAN 500 KVA",,,,601.071,8.569903,63.620000000000005,2.758796,664.6910000000001,11.328699
15522,,,,,,,,دول اسيوية عدا العربية والاسلامية,"ASIAN NOT ARABIC ,NOT ISLAMIC",,0,0,2.108,0.000593,2.108,0.000593
15523,,,,,,,,دول الاتحاد الأوروبي,EUROPEAN UNION,,0,0,4.074,0.958833,4.074,0.958833
15524,,,,,,,,دول الجامعة العربية الاخرى,OTHER ARAB LEAGUE COUNTRIES,,601.071,8.569903,0,0,601.071,8.569903
15525,,,,,,,,دول امريكا الشمالية,NORTH AMERICA,,0,0,0.051,0.087895,0.051,0.087895
15526,,,,,,,,دول اوروبا عدا دول الاتحاد الأوروبي,EUROPE NOT EUROPEAN UNION,,0,0,1.168,0.031065,1.168,0.031065
15527,,,,,,,,دول مجلس التعاون الخليجي,GULF COOPERATION COUNCIL,,0,0,56.219,1.68041,56.219,1.68041
