,Quantity/Units,Weight(1000 Tons),Value(million SAR),Country Group,Commodity,Commodity Code
3781,0,0,1,Other Country Groups,OTHER NON METAL IMITATION JEWELLERY,71179090
3782,0,31,59,Other Arab League Countries,NON-ALLOY PIG IRON 0.5% OR LESS PHOSPHORUS5%,72011000
3783,0,25,50,Gulf Cooperation Council,ALLOY PIG IRON; SPIEGELEISEN,72015000
3784,0,23,44,Other Arab League Countries,ALLOY PIG IRON; SPIEGELEISEN,72015000
3785,0,5,9,Islamic not Arabic countries,ALLOY PIG IRON; SPIEGELEISEN,72015000
3786,0,5,23,North America,FERRO-MANGANESE MORE THAN 2% CARBON,72021100
3787,0,0,0,Other Country Groups,FERRO-MANGANESE MORE THAN 2% CARBON,72021100
3788,0,5,21,Gulf Cooperation Council,FERRO-SILICO-MANGANESE,72023000
3789,0,0,1,"Asian not Arabic ,not Islamic",FERRO-SILICO-MANGANESE,72023000
3790,0,21,87,North America,FERRO-SILICO-MANGANESE,72023000
3791,0,2,5,European Union,FERRO-SILICO-MANGANESE,72023000
3792,0,0,0,Other Country Groups,FERRO-SILICO-MANGANESE,72023000
3793,0,47,5,Other Arab League Countries,"TURNINGS, SHAVINGS, CHIPS, OF IRON AND STEEL",72044100
3794,0,5,7,"Asian not Arabic ,not Islamic",OTHER WASTE AND SCRAP OF IRON AND STEEL,72044900
3795,0,87,160,Other Arab League Countries,REMELTING INGOTS OF IRON AND STEEL,72045000
3796,0,1,3,Gulf Cooperation Council,"GRANULES OF PIG IRON, IRON AND STEEL",72051000
3797,0,1,1,"Asian not Arabic ,not Islamic","GRANULES OF PIG IRON, IRON AND STEEL",72051000
3798,0,0,5,South America,"GRANULES OF PIG IRON, IRON AND STEEL",72051000
3799,0,0,0,Other Country Groups,"GRANULES OF PIG IRON, IRON AND STEEL",72051000
3800,0,15,27,Gulf Cooperation Council,"SEMI-FINISHED IRON AND STEEL, UNDER 0.25% CARBON, RECT.",72071100
3801,0,97,177,Other Arab League Countries,"SEMI-FINISHED IRON AND STEEL, UNDER 0.25% CARBON, RECT.",72071100
3802,0,50,93,Islamic not Arabic countries,"SEMI-FINISHED IRON AND STEEL, UNDER 0.25% CARBON, RECT.",72071100
3803,0,121,231,"Asian not Arabic ,not Islamic","SEMI-FINISHED IRON AND STEEL, UNDER 0.25% CARBON, RECT.",72071100
3804,0,0,0,Other Country Groups,"SEMI-FINISHED IRON AND STEEL, UNDER 0.25% CARBON, RECT.",72071100
3805,0,2,3,Other Arab League Countries,"OTHER SEMI-FINISHED IRON AND STEEL, UNDER 0.25% CARBON",72071900
3806,0,1,1,Gulf Cooperation Council,IN FORM OF BNDAGE NOT PROC. MORE THAN WHETTING W/ HEAT.,72081000
3807,0,57,137,Other Arab League Countries,IN FORM OF BNDAGE NOT PROC. MORE THAN WHETTING W/ HEAT.,72081000
3808,0,0,0,Other Country Groups,IN FORM OF BNDAGE NOT PROC. MORE THAN WHETTING W/ HEAT.,72081000
